source_id,relation,target_id
u22903,follow,u104566770
u22903,follow,u425138781
u286543,follow,u13260592
u438023,follow,u56345134
u438023,follow,u706819428
u628563,follow,u104566770
u769985,follow,u7046912
u769985,follow,u14709812
u769985,follow,u45529357
u769985,follow,u119065059
u769985,follow,u321425967
u769985,follow,u416194495
u769985,follow,u465433625
u769985,follow,u868757713
u2007021,follow,u7046912
u2007021,follow,u48034707
u2007021,follow,u211904475
u3610511,follow,u7046912
u3610511,follow,u14709812
u3610511,follow,u15391421
u3610511,follow,u21770069
u3610511,follow,u92403540
u3610511,follow,u104566770
u3610511,follow,u118898139
u3610511,follow,u138867555
u3610511,follow,u321425967
u3610511,follow,u440691931
u5656162,follow,u31162918
u5656162,follow,u118898139
u5682702,follow,u206615715
u5863152,follow,u3610511
u5863152,follow,u6067292
u5863152,follow,u7046912
u5863152,follow,u8291932
u5863152,follow,u9939012
u5863152,follow,u14709812
u5863152,follow,u14865840
u5863152,follow,u56326516
u5863152,follow,u104566770
u5863152,follow,u160466484
u5863152,follow,u187536784
u5863152,follow,u321425967
u6067292,follow,u455775628
u6082972,follow,u15391421
u6082972,follow,u84596057
u6082972,follow,u173164569
u6082972,follow,u178507135
u6082972,follow,u216522413
u6082972,follow,u232560751
u6082972,follow,u422226730
u6082972,follow,u549083012
u6140012,follow,u6140012
u6140012,follow,u22203964
u6140012,follow,u34355343
u6618042,follow,u92403540
u6677972,follow,u6067292
u6677972,follow,u7046912
u6677972,follow,u92403540
u6677972,follow,u425380217
u6684602,follow,u31102741
u6684602,follow,u84596057
u6684602,follow,u104566770
u6684602,follow,u104897833
u6684602,follow,u113746083
u6684602,follow,u174747861
u6684602,follow,u183148817
u6684602,follow,u216522413
u6684602,follow,u232560751
u6684602,follow,u349204176
u6684602,follow,u403766373
u6684602,follow,u425263052
u6684602,follow,u425380217
u6684602,follow,u425840466
u6684602,follow,u428117425
u6684602,follow,u522582939
u6684602,follow,u558489220
u6684602,follow,u593546714
u6684602,follow,u801510450
u6684602,follow,u825336607
u6684602,follow,u876501625
u7046912,follow,u3610511
u7046912,follow,u8291932
u7046912,follow,u9939012
u7046912,follow,u13260592
u7046912,follow,u14057516
u7046912,follow,u14709812
u7046912,follow,u14865840
u7046912,follow,u16591972
u7046912,follow,u18800245
u7046912,follow,u22203964
u7046912,follow,u28342883
u7046912,follow,u36381609
u7046912,follow,u38223194
u7046912,follow,u51150318
u7046912,follow,u56326516
u7046912,follow,u56345134
u7046912,follow,u59083826
u7046912,follow,u62017536
u7046912,follow,u77165019
u7046912,follow,u81680710
u7046912,follow,u117463248
u7046912,follow,u118339229
u7046912,follow,u118898139
u7046912,follow,u119065059
u7046912,follow,u128587032
u7046912,follow,u160466484
u7046912,follow,u163354973
u7046912,follow,u264333523
u7046912,follow,u296876973
u7046912,follow,u300796010
u7046912,follow,u321425967
u7046912,follow,u374488191
u7046912,follow,u425840466
u7046912,follow,u427674701
u7046912,follow,u444833485
u7046912,follow,u466489818
u7046912,follow,u531280420
u7046912,follow,u862068776
u7246122,follow,u6015122
u7246122,follow,u7046912
u7470952,follow,u8291932
u7470952,follow,u48989220
u7470952,follow,u62364690
u7470952,follow,u109079114
u7470952,follow,u110273768
u7470952,follow,u168761446
u7470952,follow,u201012406
u7470952,follow,u261223538
u7470952,follow,u706819428
u7773732,follow,u7046912
u7773732,follow,u28342883
u7773732,follow,u977265403
u8029522,follow,u7046912
u8291932,follow,u7046912
u8291932,follow,u7470952
u8291932,follow,u9993142
u8291932,follow,u15350901
u8291932,follow,u15873303
u8291932,follow,u77243029
u8291932,follow,u85391583
u8291932,follow,u95243555
u8291932,follow,u109079114
u8291932,follow,u178507135
u8291932,follow,u415073613
u8291932,follow,u422226730
u8858022,follow,u49319803
u8927532,follow,u15271419
u8933252,follow,u56326516
u8933252,follow,u85184915
u8933252,follow,u92403540
u8933252,follow,u104566770
u8933252,follow,u111924058
u8933252,follow,u178507135
u8933252,follow,u187536784
u8933252,follow,u245306807
u8933252,follow,u425263052
u8933252,follow,u599940695
u9564632,follow,u43964510
u9564632,follow,u153324815
u9664862,follow,u13260592
u9939012,follow,u7046912
u9939012,follow,u15391421
u9939012,follow,u28342883
u9939012,follow,u104566770
u9939012,follow,u178507135
u9993142,follow,u8291932
u9993142,follow,u14709812
u9993142,follow,u104566770
u9993142,follow,u327900613
u11176152,follow,u415073613
u11176152,follow,u425380217
u12179872,follow,u3610511
u12179872,follow,u7046912
u12179872,follow,u9939012
u12179872,follow,u14709812
u12179872,follow,u14865840
u12179872,follow,u22203964
u12179872,follow,u28342883
u12179872,follow,u56326516
u12179872,follow,u178507135
u12179872,follow,u211904475
u12179872,follow,u349204176
u12179872,follow,u412145728
u12179872,follow,u434826176
u12179872,follow,u455775628
u12551742,follow,u7046912
u12700622,follow,u104566770
u13260592,follow,u7046912
u13260592,follow,u44335261
u13260592,follow,u56326516
u13260592,follow,u299837277
u14057516,follow,u7046912
u14057516,follow,u71582266
u14057516,follow,u599940695
u14057516,follow,u900040604
u14057516,follow,u977265403
u14112759,follow,u513726022
u14443340,follow,u7046912
u14443340,follow,u77243029
u14443340,follow,u111924058
u14443340,follow,u163932767
u14443340,follow,u183148817
u14709812,follow,u3610511
u14709812,follow,u7046912
u14709812,follow,u9993142
u14709812,follow,u118898139
u14709812,follow,u211904475
u14865840,follow,u7046912
u14865840,follow,u22203964
u14865840,follow,u135441917
u14958182,follow,u216522413
u15271419,follow,u8927532
u15271419,follow,u29646177
u15271419,follow,u31102741
u15271419,follow,u48182327
u15271419,follow,u56326516
u15271419,follow,u72890647
u15271419,follow,u74156552
u15271419,follow,u105429377
u15271419,follow,u109079114
u15271419,follow,u111924058
u15271419,follow,u133447001
u15271419,follow,u174747861
u15271419,follow,u293394867
u15271419,follow,u326054560
u15271419,follow,u327900613
u15271419,follow,u349204176
u15271419,follow,u351555225
u15271419,follow,u365372541
u15271419,follow,u373947833
u15271419,follow,u377914761
u15271419,follow,u380319760
u15271419,follow,u388348486
u15271419,follow,u413296140
u15271419,follow,u415900150
u15271419,follow,u417735070
u15271419,follow,u425138781
u15271419,follow,u425263052
u15271419,follow,u428117425
u15271419,follow,u437007483
u15271419,follow,u450630648
u15271419,follow,u503425054
u15271419,follow,u510047880
u15271419,follow,u513726022
u15271419,follow,u563022345
u15271419,follow,u585439502
u15271419,follow,u585968039
u15271419,follow,u595539789
u15271419,follow,u600090702
u15271419,follow,u632742781
u15271419,follow,u708429391
u15271419,follow,u716206832
u15271419,follow,u787115406
u15271419,follow,u835342567
u15271419,follow,u862068776
u15271419,follow,u951523590
u15271419,follow,u991254878
u15271419,follow,u1030992019
u15271419,follow,u1031110604
u15271419,follow,u1065760964
u15271419,follow,u1205795042
u15350901,follow,u8291932
u15350901,follow,u77243029
u15350901,follow,u110273768
u15350901,follow,u111924058
u15391421,follow,u3610511
u15391421,follow,u9939012
u15391421,follow,u81056258
u15391421,follow,u85391583
u15391421,follow,u105429377
u15391421,follow,u109079114
u15391421,follow,u111924058
u15391421,follow,u216522413
u15391421,follow,u403766373
u15391421,follow,u900040604
u15622858,follow,u417280214
u15873303,follow,u8291932
u15873303,follow,u104897833
u15873303,follow,u401502696
u15873303,follow,u563022345
u16002194,follow,u32130104
u16043064,follow,u250171190
u16093829,follow,u198418075
u16183526,follow,u29646177
u16183526,follow,u706819428
u16591972,follow,u7046912
u16591972,follow,u232560751
u17283453,follow,u38002859
u17283453,follow,u321425967
u17421795,follow,u23748269
u17426567,follow,u53025684
u17426567,follow,u153324815
u17426567,follow,u209733883
u17426567,follow,u254558097
u17426567,follow,u600090702
u17426567,follow,u632742781
u17844234,follow,u22203964
u17844234,follow,u977265403
u18671285,follow,u37889070
u18671285,follow,u48034707
u18671285,follow,u104566770
u18671285,follow,u110273768
u18671285,follow,u111924058
u18671285,follow,u178507135
u18721974,follow,u32204918
u18721974,follow,u56326516
u18721974,follow,u115955798
u18721974,follow,u211487690
u18721974,follow,u425380217
u18800245,follow,u7046912
u18800245,follow,u22203964
u18800245,follow,u56326516
u18800245,follow,u104566770
u18800245,follow,u111924058
u18800245,follow,u425138781
u18800245,follow,u427676471
u18874774,follow,u110273768
u19598248,follow,u71295474
u19701419,follow,u7046912
u19706832,follow,u3610511
u20303000,follow,u15391421
u20303000,follow,u599940695
u20542869,follow,u56345134
u20542869,follow,u487416678
u20681942,follow,u7046912
u21102000,follow,u265529493
u21102000,follow,u835342567
u21133252,follow,u92403540
u21133252,follow,u104566770
u21770069,follow,u3610511
u21770069,follow,u42676920
u21770069,follow,u60508255
u21770069,follow,u70735118
u21770069,follow,u72816504
u21770069,follow,u261223538
u21770069,follow,u434826176
u21770069,follow,u517073805
u21770069,follow,u564653953
u22015162,follow,u471093612
u22015162,follow,u471422290
u22015750,follow,u56326516
u22015750,follow,u83811813
u22015750,follow,u273686840
u22015750,follow,u471093612
u22203964,follow,u7046912
u22203964,follow,u14865840
u22203964,follow,u18800245
u22203964,follow,u45314390
u22203964,follow,u69892452
u22203964,follow,u81056258
u22203964,follow,u157290467
u22203964,follow,u378009515
u22203964,follow,u413917055
u22203964,follow,u415073613
u22203964,follow,u461425627
u22203964,follow,u487416678
u22203964,follow,u611783684
u22203964,follow,u862114981
u22203964,follow,u974558708
u22508731,follow,u407101499
u22521283,follow,u7046912
u22521283,follow,u8291932
u22521283,follow,u14865840
u22521283,follow,u16591972
u22521283,follow,u279147035
u22598920,follow,u3610511
u22598920,follow,u6067292
u22598920,follow,u7470952
u22598920,follow,u8291932
u22598920,follow,u8933252
u22598920,follow,u9939012
u22598920,follow,u9993142
u22598920,follow,u14709812
u22598920,follow,u15016610
u22598920,follow,u15350901
u22598920,follow,u15391421
u22598920,follow,u16591972
u22598920,follow,u18671285
u22598920,follow,u21770069
u22598920,follow,u22015750
u22598920,follow,u28342883
u22598920,follow,u31162918
u22598920,follow,u32204918
u22598920,follow,u37539436
u22598920,follow,u42754744
u22598920,follow,u43964510
u22598920,follow,u45307775
u22598920,follow,u51150318
u22598920,follow,u53027768
u22598920,follow,u55819049
u22598920,follow,u56326516
u22598920,follow,u59083826
u22598920,follow,u62364690
u22598920,follow,u74156552
u22598920,follow,u77165019
u22598920,follow,u77243029
u22598920,follow,u78116487
u22598920,follow,u81592426
u22598920,follow,u81680710
u22598920,follow,u83236897
u22598920,follow,u85391583
u22598920,follow,u104566770
u22598920,follow,u107990833
u22598920,follow,u109079114
u22598920,follow,u110273768
u22598920,follow,u111924058
u22598920,follow,u113746083
u22598920,follow,u115955798
u22598920,follow,u118898139
u22598920,follow,u120720544
u22598920,follow,u128587032
u22598920,follow,u133447001
u22598920,follow,u135441917
u22598920,follow,u142335653
u22598920,follow,u151590831
u22598920,follow,u160466484
u22598920,follow,u163932767
u22598920,follow,u168761446
u22598920,follow,u170384943
u22598920,follow,u173164569
u22598920,follow,u178507135
u22598920,follow,u181191549
u22598920,follow,u183148817
u22598920,follow,u183201799
u22598920,follow,u184812764
u22598920,follow,u197602470
u22598920,follow,u202555952
u22598920,follow,u206615715
u22598920,follow,u209733883
u22598920,follow,u210459173
u22598920,follow,u211904475
u22598920,follow,u215216086
u22598920,follow,u216522413
u22598920,follow,u221173559
u22598920,follow,u223840972
u22598920,follow,u232560751
u22598920,follow,u256598881
u22598920,follow,u259934562
u22598920,follow,u262100774
u22598920,follow,u269535022
u22598920,follow,u272876921
u22598920,follow,u279147035
u22598920,follow,u291403211
u22598920,follow,u295788103
u22598920,follow,u296876973
u22598920,follow,u308672071
u22598920,follow,u315436528
u22598920,follow,u320880780
u22598920,follow,u321266890
u22598920,follow,u327900613
u22598920,follow,u331312863
u22598920,follow,u337161930
u22598920,follow,u346829273
u22598920,follow,u351555225
u22598920,follow,u374488191
u22598920,follow,u387718926
u22598920,follow,u388348486
u22598920,follow,u390759955
u22598920,follow,u405035087
u22598920,follow,u405418046
u22598920,follow,u407101499
u22598920,follow,u407818010
u22598920,follow,u412112516
u22598920,follow,u412145728
u22598920,follow,u418140622
u22598920,follow,u422226730
u22598920,follow,u425138781
u22598920,follow,u425263052
u22598920,follow,u426178907
u22598920,follow,u428117425
u22598920,follow,u434826176
u22598920,follow,u451033303
u22598920,follow,u451370524
u22598920,follow,u455266133
u22598920,follow,u459628045
u22598920,follow,u465298629
u22598920,follow,u466489818
u22598920,follow,u489345934
u22598920,follow,u503425054
u22598920,follow,u510047880
u22598920,follow,u513726022
u22598920,follow,u516038414
u22598920,follow,u522582939
u22598920,follow,u522925470
u22598920,follow,u526482947
u22598920,follow,u531280420
u22598920,follow,u535140940
u22598920,follow,u541037205
u22598920,follow,u563022345
u22598920,follow,u595539789
u22598920,follow,u734619301
u22598920,follow,u770176435
u22598920,follow,u852611210
u22598920,follow,u868757713
u22598920,follow,u964996225
u22598920,follow,u984297403
u22624920,follow,u3610511
u22624920,follow,u8291932
u22624920,follow,u15391421
u22624920,follow,u18671285
u22624920,follow,u56326516
u22624920,follow,u111924058
u22624920,follow,u215216086
u22624920,follow,u216522413
u22624920,follow,u261223538
u22624920,follow,u450630648
u22624920,follow,u455775628
u22624920,follow,u510047880
u22624920,follow,u535140940
u22624920,follow,u835342567
u22840934,follow,u7046912
u22970058,follow,u8291932
u22970058,follow,u18671285
u22970058,follow,u29646177
u22970058,follow,u109079114
u22970058,follow,u110273768
u22970058,follow,u124578978
u22970058,follow,u209733883
u22970058,follow,u210459173
u22970058,follow,u407101499
u22970058,follow,u425380217
u22970058,follow,u1089293960
u22985259,follow,u69892452
u22985259,follow,u84596057
u22985259,follow,u92403540
u22985259,follow,u120720544
u22985259,follow,u138438793
u22985259,follow,u178507135
u22985259,follow,u187536784
u22985259,follow,u215216086
u22985259,follow,u216522413
u22985259,follow,u232560751
u22985259,follow,u349204176
u22985259,follow,u496295496
u22985259,follow,u517883021
u22985259,follow,u558489220
u22985259,follow,u563022345
u22985259,follow,u602212821
u22985259,follow,u702727668
u22985259,follow,u706819428
u22985259,follow,u810793700
u22985259,follow,u825336607
u22985259,follow,u835342567
u22985259,follow,u1011395167
u22985259,follow,u1031110604
u22985259,follow,u1130960574
u23748269,follow,u110273768
u23847948,follow,u29500667
u23847948,follow,u104566770
u24176877,follow,u7046912
u24176877,follow,u56326516
u24176877,follow,u78116487
u24176877,follow,u104566770
u24176877,follow,u279147035
u24176877,follow,u321425967
u25442408,follow,u56326516
u25484842,follow,u56326516
u25911628,follow,u211904475
u26232444,follow,u92403540
u26771352,follow,u92403540
u27422705,follow,u111924058
u27636956,follow,u396898731
u27636956,follow,u1047668299
u28342883,follow,u7046912
u28342883,follow,u9939012
u28342883,follow,u81680710
u28342883,follow,u104566770
u28342883,follow,u113746083
u28342883,follow,u118898139
u28342883,follow,u299837277
u28342883,follow,u599940695
u29500667,follow,u23847948
u29500667,follow,u92403540
u29500667,follow,u216522413
u29510629,follow,u92403540
u29646177,follow,u15271419
u29646177,follow,u74156552
u29646177,follow,u105429377
u29646177,follow,u109079114
u29646177,follow,u111924058
u29646177,follow,u120720544
u29646177,follow,u124578978
u29646177,follow,u131435310
u29646177,follow,u168761446
u29646177,follow,u293394867
u29646177,follow,u326054560
u29646177,follow,u344525772
u29646177,follow,u351555225
u29646177,follow,u370625229
u29646177,follow,u380319760
u29646177,follow,u381960133
u29646177,follow,u394814291
u29646177,follow,u425380217
u29646177,follow,u466489818
u29646177,follow,u502315142
u29646177,follow,u503425054
u29646177,follow,u513726022
u29646177,follow,u585968039
u29646177,follow,u599940695
u29646177,follow,u706819428
u29646177,follow,u708429391
u29646177,follow,u851233315
u29646177,follow,u1065760964
u30638954,follow,u558489220
u30638954,follow,u586584556
u31102741,follow,u6684602
u31102741,follow,u15271419
u31102741,follow,u56326516
u31102741,follow,u92403540
u31102741,follow,u136622745
u31102741,follow,u174747861
u31102741,follow,u226197498
u31102741,follow,u332389973
u31102741,follow,u377389027
u31102741,follow,u388842116
u31102741,follow,u544470195
u31102741,follow,u594651076
u31102741,follow,u632742781
u31102741,follow,u702727668
u31102741,follow,u876501625
u31102741,follow,u1042842432
u31102741,follow,u1072217274
u31162918,follow,u5656162
u31162918,follow,u56326516
u32025215,follow,u92403540
u32025215,follow,u215216086
u32204918,follow,u92403540
u32204918,follow,u160466484
u32204918,follow,u211487690
u32204918,follow,u425380217
u34355343,follow,u6140012
u34580222,follow,u108557681
u34580222,follow,u211904475
u35737313,follow,u7046912
u36190135,follow,u134803800
u36381609,follow,u7046912
u37186955,follow,u310401703
u37539436,follow,u37922072
u37539436,follow,u81592426
u37539436,follow,u124578978
u37539436,follow,u168761446
u37539436,follow,u184812764
u37539436,follow,u202555952
u37539436,follow,u210459173
u37539436,follow,u250171190
u37539436,follow,u361784332
u37539436,follow,u920600658
u37889070,follow,u18671285
u37889070,follow,u63517006
u37889070,follow,u104566770
u37889070,follow,u109079114
u37889070,follow,u111924058
u37889070,follow,u295788103
u37922072,follow,u37539436
u37922072,follow,u104566770
u37922072,follow,u407818010
u38002859,follow,u245953131
u38002859,follow,u440184518
u38002859,follow,u455340385
u38002859,follow,u522925470
u38223194,follow,u7046912
u38972677,follow,u56326516
u38972677,follow,u461425627
u39201963,follow,u109079114
u39201963,follow,u386779723
u39201963,follow,u427676471
u39201963,follow,u472778739
u39201963,follow,u706819428
u39721490,follow,u170384943
u39721490,follow,u415073613
u40337017,follow,u7046912
u40337017,follow,u56326516
u40337017,follow,u115955798
u42676920,follow,u21770069
u42676920,follow,u62364690
u42676920,follow,u92403540
u42676920,follow,u120720544
u42676920,follow,u151590831
u42676920,follow,u413332388
u42676920,follow,u568453926
u42676920,follow,u770176435
u42754744,follow,u92403540
u42754744,follow,u382247829
u42754744,follow,u425380217
u43069058,follow,u92403540
u43964510,follow,u9564632
u43964510,follow,u78116487
u44335261,follow,u13260592
u44335261,follow,u56326516
u45100798,follow,u153324815
u45100798,follow,u187536784
u45110939,follow,u56326516
u45110939,follow,u548605379
u45307775,follow,u48989220
u45307775,follow,u104566770
u45307775,follow,u422226730
u45307775,follow,u549083012
u45307775,follow,u621741580
u45307775,follow,u1011395167
u45314390,follow,u22203964
u45529357,follow,u76982240
u45529357,follow,u299837277
u46137662,follow,u207070244
u46334699,follow,u81680710
u46334699,follow,u140030010
u46334699,follow,u471422290
u46334699,follow,u900040604
u47588692,follow,u14709812
u47588692,follow,u28342883
u47588692,follow,u62364690
u47588692,follow,u82837121
u47588692,follow,u111924058
u47588692,follow,u151590831
u47588692,follow,u160466484
u47588692,follow,u170384943
u47588692,follow,u202555952
u47588692,follow,u261223538
u47588692,follow,u706819428
u47637732,follow,u77528520
u48034707,follow,u18671285
u48034707,follow,u62364690
u48034707,follow,u104566770
u48182327,follow,u15271419
u48182327,follow,u29646177
u48182327,follow,u56345134
u48182327,follow,u110273768
u48182327,follow,u471093612
u48182327,follow,u538287562
u48182327,follow,u585968039
u48182327,follow,u600090702
u48182327,follow,u987068240
u48665791,follow,u1069178154
u48989220,follow,u7470952
u48989220,follow,u45307775
u48989220,follow,u109079114
u48989220,follow,u173662542
u48989220,follow,u471992869
u48989220,follow,u522582939
u48989220,follow,u560223770
u48989220,follow,u585439502
u48989220,follow,u632742781
u48989220,follow,u706819428
u48989220,follow,u835342567
u48989220,follow,u920600658
u48989220,follow,u1042842432
u48989220,follow,u1065760964
u49044510,follow,u77528520
u49044510,follow,u108557681
u49319803,follow,u7046912
u49319803,follow,u8858022
u49319803,follow,u300796010
u49319803,follow,u600090702
u49726434,follow,u632045063
u49934607,follow,u92403540
u49977491,follow,u92403540
u50589337,follow,u92403540
u50589337,follow,u140410819
u50594775,follow,u428384851
u50606585,follow,u104566770
u50606585,follow,u111924058
u50606585,follow,u168761446
u50606585,follow,u178507135
u50606585,follow,u210459173
u50606585,follow,u706819428
u50619779,follow,u92403540
u50619779,follow,u383387954
u51005435,follow,u92403540
u51037293,follow,u471093612
u51150318,follow,u7046912
u51150318,follow,u56326516
u51150318,follow,u92403540
u51150318,follow,u323809354
u51150318,follow,u470379248
u51150318,follow,u1052685680
u51484684,follow,u104566770
u52140322,follow,u1014830304
u52491055,follow,u161612145
u52491055,follow,u327900613
u53025684,follow,u56326516
u53025684,follow,u92403540
u53025684,follow,u209733883
u53025684,follow,u210459173
u53025684,follow,u232560751
u53025684,follow,u406907214
u53025684,follow,u435269515
u53025684,follow,u522582939
u53025684,follow,u558489220
u53025684,follow,u632742781
u53027768,follow,u92403540
u53400463,follow,u82837121
u54556442,follow,u160466484
u54691030,follow,u787115406
u54864334,follow,u370625229
u54864334,follow,u522582939
u54867711,follow,u585968039
u54911584,follow,u133447001
u54911584,follow,u215216086
u54911584,follow,u425138781
u55532545,follow,u140410819
u55532545,follow,u349204176
u55532545,follow,u394004577
u55532545,follow,u422226730
u55532545,follow,u825336607
u55532545,follow,u876501625
u55532545,follow,u974190704
u55532545,follow,u1072217274
u55590832,follow,u82837121
u55590832,follow,u394233142
u55819049,follow,u296876973
u55819049,follow,u585968039
u56326516,follow,u7046912
u56326516,follow,u8933252
u56326516,follow,u13260592
u56326516,follow,u15271419
u56326516,follow,u18800245
u56326516,follow,u22015750
u56326516,follow,u25442408
u56326516,follow,u29646177
u56326516,follow,u31102741
u56326516,follow,u31162918
u56326516,follow,u38972677
u56326516,follow,u44335261
u56326516,follow,u51150318
u56326516,follow,u53025684
u56326516,follow,u104566770
u56326516,follow,u111924058
u56326516,follow,u115955798
u56326516,follow,u117463248
u56326516,follow,u131435310
u56326516,follow,u134803800
u56326516,follow,u142335653
u56326516,follow,u181477746
u56326516,follow,u209733883
u56326516,follow,u212175167
u56326516,follow,u215216086
u56326516,follow,u232560751
u56326516,follow,u252516822
u56326516,follow,u279461605
u56326516,follow,u284481700
u56326516,follow,u299837277
u56326516,follow,u308151060
u56326516,follow,u321425967
u56326516,follow,u361097511
u56326516,follow,u361784332
u56326516,follow,u364851614
u56326516,follow,u380172348
u56326516,follow,u380319760
u56326516,follow,u396898731
u56326516,follow,u405418046
u56326516,follow,u413296140
u56326516,follow,u415073613
u56326516,follow,u434826176
u56326516,follow,u436612105
u56326516,follow,u444833485
u56326516,follow,u450630648
u56326516,follow,u510047880
u56326516,follow,u513726022
u56326516,follow,u517400735
u56326516,follow,u522582939
u56326516,follow,u577422947
u56326516,follow,u585968039
u56326516,follow,u595539789
u56326516,follow,u600090702
u56326516,follow,u632742781
u56326516,follow,u801510450
u56326516,follow,u1204191037
u56345134,follow,u7046912
u56345134,follow,u48182327
u56345134,follow,u106456147
u56345134,follow,u126737626
u56345134,follow,u318949971
u56345134,follow,u383292062
u56345134,follow,u470379248
u56345134,follow,u502315142
u56345134,follow,u509320296
u56345134,follow,u601810260
u56345134,follow,u835342567
u56345134,follow,u970505658
u56345134,follow,u1017813961
u56466070,follow,u62364690
u56706947,follow,u95008519
u56706947,follow,u425380217
u56966762,follow,u283906965
u57573169,follow,u46334699
u57573169,follow,u201012406
u57573169,follow,u289859824
u57573169,follow,u380319760
u57573169,follow,u414966228
u57573169,follow,u1038384050
u57928664,follow,u92403540
u57928664,follow,u1099363334
u59083826,follow,u7046912
u59083826,follow,u74486653
u60490488,follow,u9564632
u60490488,follow,u43964510
u60490488,follow,u108557681
u60508255,follow,u21770069
u62017536,follow,u7046912
u62364690,follow,u7470952
u62364690,follow,u42676920
u62364690,follow,u48034707
u62364690,follow,u104566770
u62364690,follow,u109079114
u62364690,follow,u110273768
u62364690,follow,u111924058
u62364690,follow,u124578978
u62364690,follow,u178507135
u62364690,follow,u187536784
u62364690,follow,u295788103
u62364690,follow,u422226730
u62364690,follow,u516038414
u62364690,follow,u889616856
u63517006,follow,u37889070
